título,dificuldade,area,matriculados,plataforma,tipo
"Advanced Options Concepts - Probability, Greeks, Simulation",Intermediate Level,Business Finance,968,Udemy,
Accounting Basics - A Complete Study,All Levels,Business Finance,1132,Udemy,
Case Studies in Macro Economics,Beginner Level,Business Finance,114,Udemy,
My Forex Strategy that win consistently over and over,Intermediate Level,Business Finance,204,Udemy,
Understand Banks & Financial Markets ,All Levels,Business Finance,1548,Udemy,
Stock Technical Analysis with Python,All Levels,Business Finance,409,Udemy,
How to Become an Accountant from scratch!,Beginner Level,Business Finance,1169,Udemy,
How to invest in Gold,Beginner Level,Business Finance,249,Udemy,
Automate Your Finances,Beginner Level,Business Finance,690,Udemy,
MBA Accounting and Finance for Managers(Paper MS04 of IGNOU),All Levels,Business Finance,1340,Udemy,
Accounting Made Easy: A Quick Guide to Financial Accounting,All Levels,Business Finance,274,Udemy,
Futures/Commodity Training (Basics),Beginner Level,Business Finance,4863,Udemy,
Cost Accounting Marginal Costing Theory and Practice,All Levels,Business Finance,1923,Udemy,
The Big Volatility Short: The Best Trade On Wall Street!,All Levels,Business Finance,224,Udemy,
Master Finance in Three Hours,Beginner Level,Business Finance,721,Udemy,
Learn Options on Futures for Hedging Options and Stocks,Expert Level,Business Finance,51,Udemy,
Option selling trading as income source. Beginners friendly,All Levels,Business Finance,1276,Udemy,
Introduction to Value Growth Investing,All Levels,Business Finance,2768,Udemy,
Become A Forex Trader - Forex trading like a professional,All Levels,Business Finance,1735,Udemy,
Hedge Fund Trading System,All Levels,Business Finance,8985,Udemy,
Bulletproof Personal Finance: Expert Asset Allocation,All Levels,Business Finance,1119,Udemy,
Financial Accounting: The Complete Introductory Crash Course,All Levels,Business Finance,2591,Udemy,
Learn About Trading Options from a real wallstreet trader,All Levels,Business Finance,1046,Udemy,
Forex Rate -Why it fluctuates -for CA / CMA / CS / CFA Exams,All Levels,Business Finance,2239,Udemy,
How to Build a Massive Stock Portfolio from Zero!,All Levels,Business Finance,1882,Udemy,
Introductory Forex Trading Course,Beginner Level,Business Finance,5931,Udemy,
Budgeting Hacks to Build Wealth!,Beginner Level,Business Finance,4931,Udemy,
Accounting and Finance for Bankers - A Comprehensive Study,All Levels,Business Finance,3056,Udemy,
Forex Prep Academy for Beginners-Real trades!,Beginner Level,Business Finance,1303,Udemy,
Accounting for Deferred Taxes (Professional Course Level),All Levels,Business Finance,2924,Udemy,
TRADING TRUTHS,All Levels,Business Finance,1405,Udemy,
The Binary Institute - Introductory Course in Binary Options,All Levels,Business Finance,1121,Udemy,
Forex Trading vs Option Trading,All Levels,Business Finance,1776,Udemy,
How to Invest in Stocks + Billionaire Investing Tips,All Levels,Business Finance,1643,Udemy,
Value Investing For Beginners,Beginner Level,Business Finance,801,Udemy,
TRADING TACTICS,All Levels,Business Finance,951,Udemy,
MQL4 Tutorial Bootcamp - Trading Robot Coding in Metatrader4,Beginner Level,Business Finance,1278,Udemy,
Ultimate Retirement: Build Your Own Dynamic Retirement Plan,All Levels,Business Finance,1184,Udemy,
build a solid foundation for trading options,All Levels,Business Finance,1115,Udemy,
Forex Scam: Avoid the scam today,All Levels,Business Finance,1086,Udemy,
Cost Accounting Crash Course,All Levels,Business Finance,3730,Udemy,
Option Trading for Rookies: Basic Option Strategies,All Levels,Business Finance,810,Udemy,
Business Analysis:  Working with Use Cases,All Levels,Business Finance,2338,Udemy,
Learn to Raise the Funds You Need via Crowdfunding,All Levels,Business Finance,3403,Udemy,
Business finances,Beginner Level,Business Finance,4695,Udemy,
Financial Accounting - A Brief Introduction,Beginner Level,Business Finance,17847,Udemy,
Trading Economic Indicators - Complete Trading System,Beginner Level,Business Finance,2692,Udemy,
Foundation of Options Trading and Investing,All Levels,Business Finance,6374,Udemy,
Option Trading - How To Earn If You Can't Predict The Market,All Levels,Business Finance,2305,Udemy,
The Financial Analyst Skills Training (FAST) course 2017,All Levels,Business Finance,589,Udemy,
Covered Calls - Powerful Income Strategy for Stock Traders,Beginner Level,Business Finance,22,Udemy,
Accounting 1 Simplified for You,Beginner Level,Business Finance,2490,Udemy,
[Value Investing] Where White People Keep Their Money,Expert Level,Business Finance,2715,Udemy,
How to Start Investing: Made Simple and Easy,All Levels,Business Finance,1506,Udemy,
Basics of Commerce A Complete Study,All Levels,Business Finance,2197,Udemy,
The Passive Investing Blueprint - Build Wealth Passively,All Levels,Business Finance,338,Udemy,
7 Steps: Your Introduction to Trading,Beginner Level,Business Finance,1076,Udemy,
Forex - Elliott Wave Theory with Fibonacci. ,All Levels,Business Finance,2769,Udemy,
The Actuarial Profession: Basic Sciences and Principles,Beginner Level,Business Finance,1531,Udemy,
Investing in stocks: Avoid stock market loss,Beginner Level,Business Finance,1136,Udemy,
QuickBooks Online: Complete Guide & Certification tips,All Levels,Business Finance,2187,Udemy,
Build Financial Models & Value Companies The Easy Way,All Levels,Business Finance,1609,Udemy,
Adventure Capital: How to pay off debt ,Beginner Level,Business Finance,2895,Udemy,
Chart Patterns Trading Demystified,All Levels,Business Finance,1023,Udemy,
Financial Planning & Analysis: Building a Company's Budget,All Levels,Business Finance,1988,Udemy,
Simple things you must know before start FOREX (OFFER),Beginner Level,Business Finance,1053,Udemy,
Practical Finance,All Levels,Business Finance,4497,Udemy,
Forex Trading: Comprehensive & Concise Forex Trading Course,All Levels,Business Finance,2379,Udemy,
Leaps Options Trading System - Diagonal Leaps Options Spread,All Levels,Business Finance,993,Udemy,
Finance - Ratios Analysis & Interpretations,Beginner Level,Business Finance,10338,Udemy,
Forex Trading -  Learn to Trade From Scratch!,Beginner Level,Business Finance,1423,Udemy,
Technical Analysis tools for Stocks and Options trading,All Levels,Business Finance,3555,Udemy,
Quantitative Trading Analysis with R,All Levels,Business Finance,567,Udemy,
Penny Stocks King: How 2 really Trade Penny Stocks (6 Hours),All Levels,Business Finance,1085,Udemy,
Get Started With Penny Stocks -Step by Step Guide to Trading,All Levels,Business Finance,7159,Udemy,
CPA 101: How To Master Affiliate Marketing In No Time,All Levels,Business Finance,11517,Udemy,
Corporate Internal Controls and Fraud Controls,Intermediate Level,Business Finance,1,Udemy,
"Forex trading tactics, that work!",Beginner Level,Business Finance,10,Udemy,
Professional Risk Manager (PRM) Certification: Level 2,All Levels,Business Finance,41,Udemy,
Trading Options Basics,Beginner Level,Business Finance,8,Udemy,
Practical Trading on Financial Futures & Options Markets,Beginner Level,Business Finance,43,Udemy,
Bookkeeping made simple,Beginner Level,Business Finance,23,Udemy,
The Visual Learning Basic Accounting Course,Beginner Level,Business Finance,9,Udemy,
ChalkTalk: Financial Accounting,All Levels,Business Finance,25,Udemy,
The 7 fundamentals to Successful Cashflow Management,All Levels,Business Finance,7,Udemy,
How to trade options,Intermediate Level,Business Finance,12,Udemy,
Coaching Course:Investment Analysis for your clients,Intermediate Level,Business Finance,1,Udemy,
Harnessing the Power of Growth Stocks,Intermediate Level,Business Finance,29,Udemy,
The Investment Banking Recruitment Series,All Levels,Business Finance,17,Udemy,
Business Banking 101,All Levels,Business Finance,132,Udemy,
CFA Level I Workshop 2: Financial Reporting & Analysis I ,All Levels,Business Finance,126,Udemy,
Breakout Patterns Workshop by Pattern Trader,All Levels,Business Finance,32,Udemy,
Asset Protection Using Offshore Companies,All Levels,Business Finance,480,Udemy,
Get Credit for Your EIN That's Not Linked to Your SSN,Beginner Level,Business Finance,27,Udemy,
Financial Translation,Beginner Level,Business Finance,167,Udemy,
How to Pick Stocks,All Levels,Business Finance,131,Udemy,
Binary Beginners Mastery Strategy.,Beginner Level,Business Finance,927,Udemy,
Accounting 101-Master Class for Understanding Business,All Levels,Business Finance,37,Udemy,
High-Frequency Trading & Dark Pools,Beginner Level,Business Finance,19,Udemy,
How To Crowdfund,All Levels,Business Finance,43,Udemy,
Financial Statement Fundamentals for Small Biz & Investors,Beginner Level,Business Finance,751,Udemy,
Master The Stock Market with practice,All Levels,Business Finance,49,Udemy,
Introduction to Trade Theory (Technical Analysis) For Stocks,Beginner Level,Business Finance,45,Udemy,
Forex Trading For Beginners: Technical Trading,Beginner Level,Business Finance,1685,Udemy,
IAS 12 - Accounting for Income Taxes (Basics),All Levels,Business Finance,4269,Udemy,
Surpassing Your Kickstarter Goals,All Levels,Business Finance,124,Udemy,
Simple Linear Regression Analysis ( A Complete Course ),All Levels,Business Finance,811,Udemy,
Forex: Learn to Trade Forex and FX Consistently,All Levels,Business Finance,956,Udemy,
Trading: High-ROI Trading,Intermediate Level,Business Finance,126,Udemy,
Fundraising 101,Beginner Level,Business Finance,26,Udemy,
Professional Bookkeeping & Accounting 2 - Bank Daybook,All Levels,Business Finance,91,Udemy,
Filing with Companies House UK,All Levels,Business Finance,30,Udemy,
"Build, Grow, and Protect Your Assets: A Step-by-Step Guide",All Levels,Business Finance,226,Udemy,
The Advantages of ETF Options and Index Options Trading,Intermediate Level,Business Finance,52,Udemy,
Learn to Trade Forex - from Beginner to Professional,All Levels,Business Finance,89,Udemy,
"Investing In Stocks For Big Gains, Fundamental Investing",All Levels,Business Finance,267,Udemy,
Introduction to Equity Markets,Beginner Level,Business Finance,4770,Udemy,
Beginners Guide To Ichimoku Trading,All Levels,Business Finance,265,Udemy,
Financial Management - Ratio Analysis,Beginner Level,Business Finance,2046,Udemy,
ALGOTECH Hedge Fund Method for Stock Market Trading,All Levels,Business Finance,605,Udemy,
Futures/Commodity Trading,All Levels,Business Finance,472,Udemy,
Complete Claritas Investment Certificate,All Levels,Business Finance,388,Udemy,
Introduction to the economics of public services regulation,Intermediate Level,Business Finance,98,Udemy,
Accounting Standard 3 - An Analysis,Intermediate Level,Business Finance,1888,Udemy,
Essentials of money value: Get a financial Life !,All Levels,Business Finance,0,Udemy,
Introduction to Forex Trading Business For Beginners,Beginner Level,Business Finance,0,Udemy,
Cryptocurrency (BTC & ETH) Investment & Trading Course 2017,Beginner Level,Business Finance,0,Udemy,
Introduction to Project Management for Finance and Acct'g,Beginner Level,Business Finance,0,Udemy,
Best Practices in Corporate Budgeting,Intermediate Level,Business Finance,0,Udemy,
Financial Statement Auditing Cycles,Intermediate Level,Business Finance,0,Udemy,
Case studies on credit appraisal for bankers,Beginner Level,Business Finance,0,Udemy,
Building a Balanced Scorecard,Intermediate Level,Business Finance,0,Udemy,
Options Trading Foundation: Your journey to competency...,Intermediate Level,Business Finance,0,Udemy,
Forex how traders beat the markest with little experience,All Levels,Business Finance,0,Udemy,
CFA Level 2- Quantitative Methods,All Levels,Business Finance,0,Udemy,
Foundations of Investing,Beginner Level,Business Finance,0,Udemy,
Capital Market Road Map,All Levels,Business Finance,495,Udemy,
TRADING: 5K CHALLENGE,Intermediate Level,Business Finance,375,Udemy,
CurrencyFair - Avoid Bank Charges when converting currencies,All Levels,Business Finance,1730,Udemy,
Bitcoin - A Comprehensive Guide,All Levels,Business Finance,283,Udemy,
Forex Trading,All Levels,Business Finance,136,Udemy,
"The True ' Secret Sauce  For Stock Market Success""",All Levels,Business Finance,23,Udemy,
Bookkeeping to Command Senior Bookkeeping Wages,All Levels,Business Finance,683,Udemy,
Take Your Career to the Next Level with MBA Finance,All Levels,Business Finance,618,Udemy,
How to Read Financial Statements:  Build Financial Literacy.,Beginner Level,Business Finance,188,Udemy,
Accounting Books of Accounts (College Level),All Levels,Business Finance,911,Udemy,
Forex Trading Profitably,All Levels,Business Finance,512,Udemy,
Learn How to Trade Pump and Dumps. 5 Setups Well Explained.,All Levels,Business Finance,769,Udemy,
Bitcoin Trading 101,All Levels,Business Finance,302,Udemy,
Visualizing Data,Intermediate Level,Business Finance,149,Udemy,
IFRS Financial Reporting,All Levels,Business Finance,72,Udemy,
Forex Trading System: Correlation EUR/GBP vs GBP/USD,Intermediate Level,Business Finance,33,Udemy,
"SAP Crystal Reports:Master-Detail,Cross-Tab,Sub-Reports",All Levels,Business Finance,13,Udemy,
Learn Financial Accounting Different,All Levels,Business Finance,79,Udemy,
CFA Level I Workshop 4: Fixed Income and Equity,All Levels,Business Finance,139,Udemy,
"IAS37 - Provisions, Contingents Liabilities & Assets",All Levels,Business Finance,2247,Udemy,
What You Should Know to Become a Trader,All Levels,Business Finance,17,Udemy,
Financial Reporting A Comprehensive Study,All Levels,Business Finance,45,Udemy,
An Abundance Mindset: How to Craft Yours,Beginner Level,Business Finance,33,Udemy,
Forex Trading Profit 183%p.a : Trend is Our Friend-ALGOTREND,All Levels,Business Finance,54,Udemy,
How to Build a Massive Retirement Plan from Scratch!,Beginner Level,Business Finance,1498,Udemy,
Financial modeling: Build a forward looking financial model,All Levels,Business Finance,2317,Udemy,
Trading for Beginners - Entry Level,Beginner Level,Business Finance,5077,Udemy,
Bitcoin or How I Learned to Stop Worrying and Love Crypto,All Levels,Business Finance,65576,Udemy,
Trend Following Stocks: A Complete Trading System,Expert Level,Business Finance,1202,Udemy,
Forex Basics,Beginner Level,Business Finance,22344,Udemy,
Accounting Bank Reconciliation Statement (College Level),All Levels,Business Finance,2189,Udemy,
Bitcoin - Ethereum: Trading -Watch me manage my own account!,All Levels,Business Finance,431,Udemy,
FOREX : Learn Technical Analysis,All Levels,Business Finance,1199,Udemy,
FastTrack to Stock Trading Strategies,All Levels,Business Finance,5685,Udemy,
